Chico State Project ID,Original Chico State seq. no.,ICP-MS ID,Burned,Urban,Watershed Full,Watershed,Location on Label,Location,USGS Station name,Date Sampled,Time,Date & Time Sampled,Total vs. Dissolved Metals,Sample Name,Run Date,Dilution Factor,Metal,Concentration (ppb)
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,U,0.063003246
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Na,10963.38163
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Mg,6817.784417
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Al,4.135347639
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,K,836.4735783
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Ca,10593.81503
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Cr,1.055706386
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,V,4.413326929
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Mn,1.007843109
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Fe,4.038999326
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Co,0.024878155
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Ni,3.70688823
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Cu,9.042305675
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Zn,3.968890992
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,As,0.59243305
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Se,0.037118539
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Cd,NA
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Ba,7.868091281
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Tl,0.007403412
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,Pb,3.435303333
CF4002,2,CF4002D,No,No,Big Chico Creek,Big Chico Creek,Big Chico Creek,Big Chico Cr @ Bidwell Golf Course,Big Chico Cr @ Bidwell Golf Course,11/20/18,5:00 PM,11/20/18 17:00,Dissolved,CF4002D,8/18/20,1,U,0.033102063
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Na,7226.853714
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Mg,11065.79711
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Al,8.398070986
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,K,1723.088746
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Ca,20159.05943
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Cr,0.865623305
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,V,9.951936196
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Mn,14.64319038
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Fe,45.25881262
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Co,0.148082722
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Ni,0.843440018
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Cu,9.122193542
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Zn,8.464431877
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,As,0.48524611
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Se,0.018634471
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Cd,0.015733686
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Ba,28.17484986
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Tl,0.003620056
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,Pb,0.352350556
CF4003,3,CF4003T,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Total,CF4003T,2/21/20,1,U,0.066164708
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Na,7838.722623
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Mg,11782.87129
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Al,85.17375872
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,K,1976.883991
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Ca,20104.54375
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Cr,0.501120006
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,V,9.951303056
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Mn,18.76768441
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Fe,112.1481238
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Co,0.166639904
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Ni,1.038811202
CF4003,3,CF4003D,All,Partially,Clear Creek,Clear Creek,CC,Clear Cr @ Butte College,Clear Cr @ Butte College,11/21/18,12:55 PM,11/21/18 12:55,Dissolved,CF4003D,7/1/20,1,Cu,3.966901197
